feature,mean_absolute_shap,feature_index
Feature_1509,0.0,1509
Feature_1480,0.0,1480
Feature_1479,0.0,1479
Feature_1478,0.0,1478
Feature_1477,0.0,1477
Feature_1476,0.0,1476
Feature_1475,0.0,1475
Feature_1474,0.0,1474
Feature_1473,0.0,1473
Feature_1472,0.0,1472
Feature_1471,0.0,1471
Feature_1470,0.0,1470
Feature_1469,0.0,1469
Feature_1468,0.0,1468
Feature_1467,0.0,1467
Feature_1466,0.0,1466
Feature_1465,0.0,1465
Feature_1464,0.0,1464
Feature_1463,0.0,1463
Feature_1462,0.0,1462
Feature_1461,0.0,1461
Feature_1460,0.0,1460
Feature_1459,0.0,1459
Feature_1458,0.0,1458
Feature_1457,0.0,1457
Feature_1455,0.0,1455
Feature_1481,0.0,1481
Feature_1482,0.0,1482
Feature_1483,0.0,1483
Feature_1497,0.0,1497
Feature_1508,0.0,1508
Feature_1507,0.0,1507
Feature_1506,0.0,1506
Feature_1505,0.0,1505
Feature_1504,0.0,1504
Feature_1026,0.0,1026
Feature_1502,0.0,1502
Feature_1501,0.0,1501
Feature_1500,0.0,1500
Feature_1499,0.0,1499
Feature_1498,0.0,1498
Feature_1496,0.0,1496
Feature_1484,0.0,1484
Feature_1495,0.0,1495
Feature_1494,0.0,1494
Feature_1493,0.0,1493
Feature_1492,0.0,1492
Feature_1491,0.0,1491
Feature_1490,0.0,1490
Feature_1489,0.0,1489
Feature_1488,0.0,1488
Feature_1487,0.0,1487
Feature_1486,0.0,1486
Feature_1485,0.0,1485
Feature_1568,0.0,1568
Feature_1569,0.0,1569
Feature_1570,0.0,1570
Feature_1630,0.0,1630
Feature_1656,0.0,1656
Feature_1655,0.0,1655
Feature_1654,0.0,1654
Feature_1653,0.0,1653
Feature_1652,0.0,1652
Feature_1651,0.0,1651
Feature_1650,0.0,1650
Feature_1649,0.0,1649
Feature_1648,0.0,1648
Feature_1647,0.0,1647
Feature_1646,0.0,1646
Feature_1645,0.0,1645
Feature_1644,0.0,1644
Feature_1643,0.0,1643
Feature_1642,0.0,1642
Feature_1641,0.0,1641
Feature_1640,0.0,1640
Feature_1639,0.0,1639
Feature_1638,0.0,1638
Feature_1637,0.0,1637
Feature_1636,0.0,1636
Feature_1635,0.0,1635
Feature_1634,0.0,1634
Feature_1633,0.0,1633
Feature_1632,0.0,1632
Feature_1657,0.0,1657
Feature_1658,0.0,1658
Feature_1659,0.0,1659
Feature_1673,0.0,1673
Feature_1684,0.0,1684
Feature_1683,0.0,1683
Feature_1682,0.0,1682
Feature_1681,0.0,1681
Feature_1680,0.0,1680
Feature_1679,0.0,1679
Feature_1678,0.0,1678
Feature_1677,0.0,1677
Feature_1676,0.0,1676
Feature_1675,0.0,1675
Feature_1674,0.0,1674
Feature_1672,0.0,1672
Feature_1660,0.0,1660
Feature_1671,0.0,1671
Feature_1670,0.0,1670
Feature_1669,0.0,1669
Feature_1668,0.0,1668
Feature_1667,0.0,1667
Feature_1666,0.0,1666
Feature_1665,0.0,1665
Feature_1664,0.0,1664
Feature_1663,0.0,1663
Feature_1662,0.0,1662
Feature_1661,0.0,1661
Feature_1631,0.0,1631
Feature_1628,0.0,1628
Feature_1571,0.0,1571
Feature_1627,0.0,1627
Feature_1598,0.0,1598
Feature_1597,0.0,1597
Feature_1596,0.0,1596
Feature_1595,0.0,1595
Feature_1593,0.0,1593
